,CreditScore,FirstTimeHomebuyer,MSA,MIP,DTI,OrigUPB,LTV,OrigInterestRate,NumBorrowers,MonthsInRepayment,FirstPayment_Year,Maturity_Year,LTV_range,Repay_range,Credit_range
223,670.5336708,1,14860,30,37,142000,95,7.375,1,55,1999,2029,High,2,Good
224,670.5336708,1,16974,25,32,140000,90,7,2,35,1999,2029,High,1,Good
225,670.5336708,1,16974,25,32,86000,90,6.875,2,91,1999,2029,High,2,Good
226,670.5336708,1,16974,25,37,142000,90,7,2,71,1999,2029,High,2,Good
227,670.5336708,1,17820,25,24,150000,90,6.75,1,28,1999,2029,High,1,Good
228,670.5336708,1,19380,0,26,48000,75,6.875,2,210,1999,2029,High,5,Good
229,670.5336708,1,19740,25,37,97000,90,6.75,2,35,1999,2029,High,1,Good
230,670.5336708,1,19804,0,27,44000,80,6.25,1,52,1999,2029,High,2,Good
231,670.5336708,1,19804,25,23,36000,90,7.5,1,28,1999,2029,High,1,Good
232,670.5336708,1,20764,0,32,240000,75,6.75,2,54,1999,2029,High,2,Good
233,670.5336708,1,20764,30,26,86000,95,7.375,1,47,1999,2029,High,1,Good
234,670.5336708,1,23104,35,28,42000,97,6.25,1,7,1999,2029,High,1,Good
235,670.5336708,1,26420,30,26,60000,95,7,1,65,1999,2029,High,2,Good
236,670.5336708,1,26420,30,27,72000,95,7.875,1,63,1999,2029,High,2,Good
237,670.5336708,1,26420,30,38,190000,95,6.625,1,74,1999,2029,High,2,Good
238,670.5336708,1,26900,0,33,90000,79,7,1,64,1999,2029,High,2,Good
239,670.5336708,1,29420,30,28,193000,95,7,2,79,1999,2029,High,2,Good
240,670.5336708,1,29620,0,28,51000,80,7,1,212,1999,2029,High,5,Good
241,670.5336708,1,31084,0,26,73000,48,6.625,1,174,1999,2029,Medium,4,Good
242,670.5336708,1,31084,0,28,195000,80,7,1,71,1999,2029,High,2,Good
243,670.5336708,1,31084,0,27,119000,95,7,1,50,1999,2029,High,2,Good
244,670.5336708,1,31084,25,33,80000,89,6.75,2,57,1999,2029,High,2,Good
245,670.5336708,1,31084,25,20,131000,90,6.875,2,174,1999,2029,High,4,Good
246,670.5336708,1,31084,25,26,122000,90,6.625,1,30,1999,2029,High,1,Good
247,670.5336708,1,31084,25,33,210000,90,6.875,1,45,1999,2029,High,1,Good
248,670.5336708,1,33124,0,12,26000,50,7.625,1,195,1999,2029,High,5,Good
